Link,Company,Title,Location,summary
https://www.jobkorea.co.kr/Recruit/GI_Read/40868071,㈜유피케미칼,(주)유피케미칼 신입/경력 공개채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40146611,㈜두원전자,각 부문별 신입 및 경력모집,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40884299,㈜이마트에브리데이,이마트에브리데이 사원 모집,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40899386,삼성바이오로직스,2023 CDO Job Openings(Cell Line Development),인천,"바이오, 의약품, 세포배양"
https://www.jobkorea.co.kr/Recruit/GI_Read/40827274,동광제약,2023년 동광제약 1분기 신입 및 경력사원 채용공고,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40891397,쌍용자동차㈜,2023년 쌍용자동차 신입/경력 공개 채용,,
https://www.jobkorea.co.kr/Recruit/GI_Read/40855671,존슨앤드존슨,[한국얀센] Regulatory Affairs Specialist (Fixed Term),서울,"제약인허가, 제품인허가, RA, Regulatory Affairs, 의료기기, 인허가업무, 제약"
https://www.jobkorea.co.kr/Recruit/GI_Read/40899365,삼성바이오로직스,2023 CDO Job Openings(Downstream Process Development),인천,"바이오, 의약품, 세포배양"
https://www.jobkorea.co.kr/Recruit/GI_Read/40943444,㈜레이,[(주)레이 America] 미국현지법인 마케팅 PR팀장 (Marketing Director) 채용,미국,"조직관리, 조직문화구축, 기계설계, 기계설비, 기계조립, 메카트로닉스, 마케팅, 마케팅기획, 브랜딩, 시장분석, 업무제휴, 브랜드, 이벤트, 홍보, 홍보기획, PR, 거래처관리, 고객관리, 매출관리"
https://www.jobkorea.co.kr/Recruit/GI_Read/40935446,에이에스엠엘코리아㈜,[ASML] Talent Acquisition Advisor,경기,"반도체장비, 인사, 채용·면접, HRM"
https://www.jobkorea.co.kr/Recruit/GI_Read/40899341,삼성바이오로직스,2023 CDO Job Openings(Upstream Process Development),인천,"바이오, 의약품, 세포배양"
https://www.jobkorea.co.kr/Recruit/GI_Read/40935435,에이에스엠엘코리아㈜,[ASML] Brand Manager,경기,반도체장비
https://www.jobkorea.co.kr/Recruit/GI_Read/40868661,하이네켄코리아,[하이네켄코리아/영업] On Trade 서울 신입사원 모집(Fixed-Term 1Year),서울,"마트, 백화점, 유통, 유통관리, 할인점, 국내영업, 일반영업, 주류영업"
https://www.jobkorea.co.kr/Recruit/GI_Read/40893399,SPC삼립,각 부문 경력직 모집 (인사/법무/마케팅/품질/산업안전),,
https://www.jobkorea.co.kr/Recruit/GI_Read/40899313,삼성바이오로직스,2023 CDO Job Openings(Analytical Development),인천,"바이오, 의약품, 세포배양"
https://www.jobkorea.co.kr/Recruit/GI_Read/40926261,㈜오케이저축은행,[OK금융그룹]-CSS 전문인력 채용공고(팀장/팀원),서울,"금융, 데이터베이스, 데이터마이닝, 대출심사"
